,Clay_Up,Silt_Up,Sand_Up,Clay_Down,Silt_Down,Sand_Down,OC_Up,OC_Down,BD_Up,BD_Down,AWC_Up,AWC_Down,K_Up,K_Down,PCP_WW,PCP_SM,IRR_SM,PCP_RY,TMP_AV,TMP_MX,TMP_MN
1307,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,46.9,757.8,26,909.7,8.833908,14.960792,2.707028
1308,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,161.5,211.0,55,293.1,8.75947791164658,13.9975742971888,3.52138152610442
1309,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,116.3,187.3,55,291.5,10.176827309237,16.284562248996,4.06908835341365
1310,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,134.7,396.4,26,706.1,8.16879116465863,13.3990722891566,2.93851004016064
1311,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,258.5,237.3,55,359.9,9.68646,15.470072,3.90284
1312,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,100.1,314.7,26,424.2,8.64056224899598,14.2534136546185,3.02771084337349
1313,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,95.9,158.8,148,287.0,9.44839357429719,15.3116465863454,3.585140562249
1314,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,148.7,287.5,26,476.7,11.0664497991968,16.1656425702811,5.96725301204819
1315,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,184.1,286.5,26,501.3,10.262,14.9252,5.5988
1316,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,125.3,332.7,26,480.1,10.721843373494,16.0045020080321,5.43918072289157
1317,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,91.9,368.8,26,415.5,8.51164658634538,13.0755020080321,3.94779116465863
1318,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,61.9,279.0,26,412.6,10.1230963855422,15.3477429718876,4.89844979919679
1319,33,31,36,30,22,48,1.39,0.67,1.0,1.1,0.11,0.09,7.82,7.34,138.2,352.2,26,454.2,9.9054,14.3848,5.426
1320,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,63.2,439.6,26,618.9,8.13819291338583,14.5819212598425,1.69446850393701
1321,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,160.9,384.0,26,521.5,8.6389842519685,14.6620236220472,2.61593700787402
1322,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,151.6,446.1,26,591.1,8.6560905511811,14.5748622047244,2.73732283464567
1323,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,148.5,455.5,26,594.6,8.31329411764706,14.7044156862745,1.92217254901961
1324,20,24,57,23,21,48,0.91,0.45,1.3,1.5,0.1,0.1,25.59,16.53,128.3,218.5,55,340.5,8.76068110236221,14.7315157480315,2.78984251968504
