a,b,c
4.3377423737895095e-06,-0.0032466179252065,0.7642625487458845
6.745356763371291e-06,-0.005312696464405,0.3054073095895453
2.990212817906079e-06,-0.0043585528025539,2.148840510357113
6.104609312531677e-06,-0.0040945694787601,1.8638965665040133
2.703762948530475e-06,-0.0044836045903728,1.8525361632388957
4.909973043920601e-06,-0.0047893882634548,0.5753164433270341
2.372801106487188e-06,-0.0035779141593785,0.4945883955565858
8.569732811129038e-06,-0.0067925892545522,0.3451046035921115
6.111527815982616e-06,-0.0064353051847041,0.2983630167767677
7.360990251304744e-06,-0.0071247654279175,0.2655264839452461
7.279653873037972e-06,-0.005518862125766,0.4380690925985556
1.1197382442817982e-05,-0.0061269993781849,0.2963727483139599
4.61195942003112e-06,-0.0033994842756412,1.0236487544163189
6.320139406046366e-06,-0.005480288345832,0.2605613452850107
6.9739865362628e-06,-0.0068005641891948,0.2506685168723803
9.474875236725744e-06,-0.0063071522000945,0.4235456059067051
4.819100310343927e-06,-0.0038704880948532,0.2992331433381592
7.822408110335511e-06,-0.0064080475805963,0.2370905067453853
9.457595764075588e-06,-0.0060536740999859,0.7193064115724915
3.4881851562751365e-06,-0.0048683987602844,0.6721752344402324
6.705369374358944e-06,-0.0049571296692582,1.3548243126715822
9.762189070726366e-06,-0.0084621473081465,0.0813105516249099
1.0928207945903878e-05,-0.0072332623638138,2.026899305326597
7.602233079006762e-06,-0.0057777414163763,0.5701463175077581
3.4955441097217488e-06,-0.0059254075148846,1.876669832018484
4.515298806295753e-06,-0.0057479583157129,0.2555765402956488
1.6123429806835787e-06,-0.0024868815862519,0.3258650355692472
7.205122580455914e-06,-0.006618335949631,0.0391266386418976
9.765447493338252e-06,-0.0076923314750967,0.1049983118171031
7.521890376560591e-06,-0.0062373811257867,-0.7132680186549991
9.108440786609329e-06,-0.0071619400712574,0.0148828168953807
1.361931172660924e-05,-0.0074644385418158,-0.8076672904765076
4.123945868281142e-06,-0.0041425354783712,0.1050270745800587
6.332170500278345e-06,-0.0056427928348348,0.0315563827829116
-1.99259817685263e-05,0.0055227105994906,-0.55203639455952
4.579174559093957e-06,-0.0049563243393215,0.3912110849050074
4.943309980243171e-06,-0.0037565263040588,0.286499877404896
8.854067443981232e-06,-0.0077140633211221,0.1073952606729865
9.613033664433148e-06,-0.0080595800888643,0.1208795640207376
4.714732461441606e-06,-0.0062944036002337,0.6712098512733925
1.0706452534623647e-05,-0.0072244807615356,0.9537574036158296
1.3088394866356268e-05,-0.0104379135268226,0.0948374252248619
