,a,b,c,d
51,-1.4789693518432253e-08,1.769727168697881e-05,-0.0077287551917893,1.577159062809106
52,-2.2856885577430063e-08,2.546415121133344e-05,-0.0122538259593827,0.5404081679797162
53,4.985829860082447e-09,1.0796392045486767e-05,-0.0123262809768287,0.4778980256048064
54,-6.255291840062681e-10,2.0887740884822925e-05,-0.0133407269126102,0.8284229258246896
55,-4.288623200406062e-08,3.371010479129968e-05,-0.0101813063638394,0.5703253865803927
56,-7.71761232698509e-09,1.7426061156622374e-05,-0.0115684994480593,0.4486637216648562
57,-1.1649922898019462e-08,2.7279636901587945e-05,-0.0130932591568272,0.9894922901706188
58,-1.5803256259161458e-08,1.8139047587406587e-05,-0.0104364068156459,0.7965074877983326
59,1.5301184285327404e-08,4.617833643593509e-06,-0.0079008794610302,1.5121317022384302
60,8.015444086240109e-09,1.602425615532255e-07,-0.0030171047653693,0.210408471350511
61,-7.942284206759868e-09,7.063290264898585e-06,-0.0037314577936318,1.3156516286327269
62,-5.173720786880055e-09,7.351706645834324e-06,-0.0033890315169701,1.180216842401815
63,-4.064146574833671e-09,4.608199265176971e-06,-0.0035313115075101,1.1976754312507571
64,1.1014821022491458e-08,-2.725901428774444e-06,-0.0024694997897097,0.3229027418274138
65,-8.31386858118386e-09,6.08736996186815e-06,-0.0030040602728452,0.3509239215697264
66,1.3706142056950713e-08,-1.1699304471184913e-06,-0.0036935631563407,0.2125693405667693
67,-6.14264329959801e-09,7.91579915607934e-06,-0.0048890694026964,0.222080366463763
68,-8.709211130053518e-11,5.2725167696277e-06,-0.0048504725167168,0.1820720976579893
69,-1.1543756614236348e-08,1.1229864102482635e-05,-0.0046903829782359,0.3234699701287325
70,-2.896244133410164e-09,8.692473158378178e-06,-0.0042478706510376,0.2173979196281836
71,-6.759234214619015e-09,7.289743331876981e-06,-0.0030711285857908,0.6785052142803506
72,-9.432630226725629e-09,9.285754392522064e-06,-0.0043582925195867,0.1971236805840816
73,-2.719487968150247e-09,6.521047327123775e-06,-0.0048642822611777,0.1787602413873033
74,-4.931862088755559e-09,9.29924902565683e-06,-0.0048431926316244,0.3341270403311484
75,-1.1277284281742648e-08,9.201969404727365e-06,-0.0033683979493051,0.2238039689873336
76,-2.5894946572188595e-09,5.573899947236306e-06,-0.0039940944322462,0.155840573946152
77,-4.119462829491392e-09,8.785661747090342e-06,-0.0045002323155997,0.4783370194454806
78,-4.0101473214963105e-09,4.869312276285004e-06,-0.0036533036746904,0.4023757143170732
79,1.497193258259699e-09,3.532151871543654e-06,-0.0031381162200554,0.761179875913508
80,9.170478043607488e-09,1.811023472964024e-06,-0.0046481110671294,0.2865255752565711
81,-1.1566783788086588e-08,9.931089574902942e-06,-0.0054001506022109,2.1808479674741466
82,-1.0262240639447196e-08,1.1626384543933998e-05,-0.004838275117392,1.8850262136967155
83,-6.75709802569189e-09,7.104801488575482e-06,-0.0051930348408693,1.875383645663064
84,1.4078474275258657e-08,-2.66519210589955e-06,-0.0037691198718832,0.5463292906427182
85,-1.2891645853266857e-08,9.309372993036422e-06,-0.004512173034018,0.5211319080370614
86,2.3658222968542312e-08,-4.159981130007772e-06,-0.0050780754611195,0.2963930319063816
87,-6.458454215874099e-09,9.987050480164685e-06,-0.0070168939123396,0.3162347661596738
88,4.742558773347074e-09,4.515124320891546e-06,-0.0066976943550424,0.2524029356501034
89,-1.9188715602619025e-08,1.760447258065173e-05,-0.0069094703125467,0.4775780846648393
90,-9.321154995344824e-09,1.621279030237485e-05,-0.0068025044275886,0.3155647274763001
91,-2.9297224722366353e-09,6.1883470037554696e-06,-0.0036118015568516,1.0296809651531866
92,-1.5581565525818192e-08,1.4704068878500704e-05,-0.0066094859773855,0.2926433221113231
93,1.6179937389892982e-09,6.103397436452163e-06,-0.0066833080997974,0.2473371213740126
94,-9.582602711333266e-09,1.4630959641714902e-05,-0.0070016044293339,0.4432759010770275
95,-1.5789494020297965e-08,1.3314909167092956e-05,-0.0050147542805451,0.3317432364610915
96,-2.172454216520236e-09,8.991334690455766e-06,-0.006565485631242,0.2415635296265383
97,-1.008491008818142e-08,1.4883955203822048e-05,-0.006784528561985,0.74007093980102
98,-8.772892875567504e-09,8.752532539549226e-06,-0.0056584045185908,0.6964514715681053
99,3.3005612687375674e-09,4.929445694079604e-06,-0.0047179376973189,1.348028558799702
100,3.716429195581878e-08,-1.0234697947258369e-05,-0.0057688472325586,0.0047903823198158
101,-5.665748536998194e-09,1.397676179637486e-05,-0.007643859843404,2.038564918709614
102,3.74271724723485e-10,7.4008500822175805e-06,-0.0057506180193027,0.5693757106685549
103,-8.427510023167883e-09,8.984556897906337e-06,-0.0068102150071396,1.905165410233138
104,3.250213535665655e-08,-1.2973034455738006e-05,-0.0033925252712504,0.188655616657142
105,-1.3294585125466849e-08,8.765723341390118e-06,-0.003450341535108,0.3532381891635651
106,1.7758698400704986e-08,-2.3502504351569087e-06,-0.0053313613585479,0.0025620154614758
107,1.5790934337900353e-08,1.2688637143210002e-06,-0.0065479609324934,0.0724852554957022
108,-5.606799469148881e-10,7.82357415163304e-06,-0.0062780137428029,-0.712113590026977
109,-1.6575203432012131e-09,1.0000298556134268e-05,-0.0072820608503596,0.0182956082105187
110,-1.417067130304872e-08,2.1244085484872777e-05,-0.0084913885925332,-0.7784902981906636
111,-1.1193746751911828e-08,1.0146933903719338e-05,-0.0049537474257189,0.1280746632308265
112,-1.6047298392039932e-08,1.4966695425519408e-05,-0.0068057421227507,0.0645972862736442
113,-2.985778287235944e-07,0.000159241532506,-0.0213644527012866,0.2741843577666344
114,-8.21275695861441e-08,4.8769326747203554e-05,-0.0109081176466253,0.5603092927509677
115,-2.3088103498218124e-08,1.736626137577003e-05,-0.0054297234987603,0.3340375909691013
116,1.1748184980397982e-08,2.532754710737884e-06,-0.0068626712689718,0.0832061055910001
117,2.254162213361816e-08,-2.515874069716506e-06,-0.0064259864398213,0.0744670388041938
118,-1.7663873230389565e-08,1.531428797077272e-05,-0.0078850489944495,0.7200890961975108
119,4.9104896200028555e-09,8.064279084796925e-06,-0.0068686170793155,0.943646852424466
120,3.5790628931113494e-08,-6.169369002615872e-06,-0.0078441629951842,0.021145589429804
121,-4.625728688978371e-09,1.6233176592717058e-05,-0.0095689339160944,2.0619832737685497
122,-1.2375922232079417e-08,1.799422385895489e-05,-0.0085895880828937,0.6562614684722495
123,-1.3705366841421096e-08,1.5282520598236538e-05,-0.009031109702281,1.8274449112562705
124,2.36642959959738e-08,-5.061301867777331e-06,-0.0059313432934164,0.0661738116034641
125,-2.8276507623086946e-08,1.9652159002023097e-05,-0.0055248430725243,0.3474139942056841
126,6.2745573181643985e-09,4.111747499258023e-06,-0.0064711488311319,-0.007172701735016
127,2.3874538013224367e-08,-1.0348261847425989e-07,-0.0082368384609281,0.1078062650042467
128,-2.688045119825233e-09,1.2298443680447411e-05,-0.0083812188626282,-0.7343173908204585
129,-1.3490051964382133e-08,1.611354899200279e-05,-0.0083577111826507,0.0099427689364295
130,-2.7137529778897832e-08,3.150674093921335e-05,-0.0105039090880263,-0.9560544101413672
131,-2.959013034598001e-09,6.852631508902363e-06,-0.0053370103132375,0.2129476963775598
132,-2.2419011473592288e-08,2.1367003310860907e-05,-0.0094494075235605,0.1131460892628471
133,-3.563040129002165e-07,0.000191634340864,-0.0259055817061065,0.3336628009629206
134,-1.9890741742954346e-07,0.0001081877440133,-0.0178502709916726,0.5893631962267057
135,-2.785014637719179e-08,2.2281506154379432e-05,-0.0069485788741561,0.2882763088130736
136,-1.5106775830275863e-09,1.1259531735197116e-05,-0.0089935941432117,0.1155451954409519
137,2.5315684437643423e-08,6.117179810471995e-07,-0.0083933876699726,0.108242950119488
138,-2.1401236560691927e-08,1.984764868867561e-05,-0.0098698402610608,0.6757814874407861
139,-7.673874868885378e-10,1.1702789071699192e-05,-0.0079501096578771,0.7430054765125209
140,1.4634953447306186e-08,-3.172875122500912e-06,-0.0030405023437531,0.0059980809178693
141,-2.6837282622620692e-09,6.464977003890905e-06,-0.0037071178433448,0.9264943478132424
142,-2.762618994703125e-09,5.519356530699349e-06,-0.0032185929801736,0.277738820356521
143,-6.0904193416227515e-09,5.618143857848856e-06,-0.0035164350486621,0.8594024749307336
144,1.3569058645726777e-08,-5.399867493352647e-06,-0.0017095922321136,0.0566169625619394
145,-6.126890913975236e-09,4.15793857867136e-06,-0.0018245973658433,0.1657878164154441
146,6.0489858677570404e-09,-2.0485328255936966e-07,-0.002618722093876,-0.000400173394357
147,5.732530763929235e-09,1.5389479849164043e-06,-0.0033071091633502,0.0373116057003432
148,8.418099550766556e-11,3.669166030673132e-06,-0.0031490864417551,-0.3251863793421123
149,-2.0099938142183227e-09,5.208734424027852e-06,-0.0035314939124752,0.0074807969919001
150,-8.212066200370913e-09,1.060333360728811e-05,-0.0041116028339646,-0.3864805935995243
151,-3.718225662472425e-09,3.844111242124901e-06,-0.0023494062525655,0.0780102469139577
152,-8.579430209689672e-09,7.706698064778823e-06,-0.0034435116779044,0.0336124489368333
153,-1.451013795640862e-07,7.770689399189717e-05,-0.0104672814843736,0.1346427132585729
154,-4.491235176713248e-08,2.6167297481471435e-05,-0.00558936273337,0.265529273193335
155,-8.943122023929502e-09,6.977599481400047e-06,-0.0025020511669583,0.1375680441843513
156,2.091228634704123e-09,2.993014388552595e-06,-0.0035007921415162,0.0422583536727624
